checking_status,duration,credit_history,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
2,42,5,5954,1,4,2,2,1,1,1,41,1,2,2,2,1,0,1,1
1,36,3,1977,5,5,4,3,1,4,4,40,3,2,1,4,1,1,1,0
1,12,5,1526,1,5,4,3,1,4,4,66,3,3,2,4,1,0,1,1
1,42,3,3965,1,2,4,3,1,3,3,34,3,2,1,3,1,0,1,0
2,11,4,4771,1,4,2,3,1,4,2,51,3,2,1,3,1,0,1,1
4,54,1,9436,5,3,2,3,1,2,2,39,3,2,1,2,2,0,1,1
2,30,3,3832,1,2,2,4,1,1,2,22,3,2,1,3,1,0,1,1
4,24,3,5943,5,2,1,2,1,1,3,44,3,2,2,3,1,1,1,0
4,15,3,1213,3,5,4,3,1,3,2,47,2,2,1,3,1,1,1,1
4,18,3,1568,2,3,3,2,1,4,2,24,3,1,1,2,1,0,1,1
1,24,3,1755,1,5,4,2,3,4,1,58,3,2,1,2,1,1,1,1
1,10,3,2315,1,5,3,3,1,4,1,52,3,2,1,2,1,0,1,1
4,12,5,1412,1,3,4,2,3,2,1,29,3,2,2,4,1,1,1,1
2,18,5,1295,1,2,4,2,1,1,2,27,3,2,2,3,1,0,1,1
2,36,3,12612,2,3,1,3,1,4,4,47,3,3,1,3,2,1,1,0
1,18,3,2249,2,4,4,3,1,3,3,30,3,2,1,4,2,1,1,1
1,12,1,1108,1,4,4,3,1,3,1,28,3,2,2,3,1,0,1,0
4,12,5,618,1,5,4,3,1,4,1,56,3,2,1,3,1,0,1,1
1,12,5,1409,1,5,4,3,1,3,1,54,3,2,1,3,1,0,1,1
4,12,5,797,5,5,4,2,1,3,2,33,1,2,1,2,2,0,1,0
3,24,5,3617,5,5,4,3,2,4,4,20,3,1,2,3,1,0,1,1
2,12,3,1318,4,5,4,3,1,4,1,54,3,2,1,3,1,1,1,1
2,54,1,15945,1,2,3,3,1,4,4,58,3,1,1,3,1,1,1,0
4,12,5,2012,5,4,4,2,1,2,3,61,3,2,1,3,1,0,1,1
2,18,3,2622,2,3,4,3,1,4,3,34,3,2,1,3,1,0,1,1
2,36,5,2337,1,5,4,3,1,4,1,36,3,2,1,3,1,0,1,1
2,20,4,7057,5,4,3,3,1,4,2,36,1,1,2,4,2,1,1,1
4,24,3,1469,2,5,4,4,1,4,1,41,3,1,1,2,1,0,1,1
2,36,3,2323,1,4,4,3,1,4,3,24,3,1,1,3,1,0,1,1
4,6,4,932,1,3,3,2,1,2,1,24,3,2,1,3,1,0,1,1
2,9,5,1919,1,4,4,3,1,3,3,35,3,1,1,3,1,1,1,1
4,12,3,2445,5,2,2,4,1,4,3,26,3,1,1,3,1,1,1,1
2,24,5,11938,1,3,2,3,2,3,3,39,3,2,2,4,2,1,1,0
4,18,2,6458,1,5,2,3,1,4,4,39,1,2,2,4,2,1,1,0
2,12,3,6078,1,4,2,3,1,2,3,32,3,2,1,3,1,0,1,1
1,24,3,7721,5,2,1,2,1,2,2,30,3,2,1,3,1,1,0,1
2,14,3,1410,3,5,1,4,1,2,1,35,3,2,1,3,1,1,1,1
2,6,4,1449,2,5,1,1,1,2,3,31,1,2,2,3,2,0,1,1
3,15,3,392,1,2,4,2,1,4,2,23,3,1,1,3,1,1,1,1
2,18,3,6260,1,4,3,3,1,3,1,28,3,1,1,2,1,0,1,1
4,36,5,7855,1,3,4,2,1,2,1,25,2,2,2,3,1,1,1,0
1,12,3,1680,3,5,3,4,1,1,1,35,3,2,1,3,1,0,1,1
4,48,5,3578,5,5,4,3,1,1,1,47,3,2,1,3,1,1,1,1
1,42,3,7174,5,4,4,2,1,3,3,30,3,2,1,4,1,1,1,0
1,10,5,2132,5,2,2,2,2,3,1,27,3,1,2,3,1,0,0,1
1,33,5,4281,3,3,1,2,1,4,3,23,3,2,2,3,1,0,1,0
2,12,5,2366,3,4,3,1,1,3,3,36,3,2,1,4,1,1,1,1
1,21,3,1835,1,3,3,2,1,2,1,25,3,2,2,3,1,1,1,0
4,24,5,3868,1,5,4,2,1,2,3,41,3,1,2,4,1,1,1,1
4,12,3,1768,1,3,3,3,1,2,1,24,3,1,1,2,1,0,1,1
3,10,5,781,1,5,4,3,1,4,4,63,3,3,2,3,1,1,1,1
2,18,3,1924,5,2,4,2,1,3,1,27,3,1,1,3,1,0,1,0
1,12,5,2121,1,3,4,3,1,2,2,30,3,2,2,3,1,0,1,1
1,12,3,701,1,3,4,4,1,2,1,40,3,2,1,2,1,0,1,1
2,12,3,639,1,3,4,3,1,2,3,30,3,2,1,3,1,0,1,0
2,12,5,1860,1,1,4,3,1,2,3,34,3,2,2,4,1,1,1,1
1,12,5,3499,1,3,3,2,2,2,1,29,3,2,2,3,1,0,1,0
2,48,3,8487,5,4,1,2,1,2,3,24,3,2,1,3,1,0,1,1
1,36,4,6887,1,3,4,3,1,3,2,29,2,2,1,3,1,1,1,0
4,15,3,2708,1,2,2,3,1,3,2,27,1,2,2,2,1,0,1,1
4,18,3,1984,1,3,4,3,1,4,4,47,1,3,2,3,1,0,1,1
4,60,3,10144,2,4,2,2,1,4,1,21,3,2,1,3,1,1,1,1
4,12,5,1240,5,5,4,2,1,2,1,38,3,2,2,3,1,1,1,1
4,27,4,8613,4,3,2,3,1,2,3,27,3,2,2,3,1,0,1,1
2,12,3,766,3,3,4,3,1,3,1,66,3,2,1,2,1,0,1,0
2,15,5,2728,5,4,4,3,3,2,1,35,1,2,3,3,1,1,1,1
3,12,3,1881,1,3,2,2,1,2,3,44,3,1,1,2,1,1,1,1
3,6,3,709,4,2,2,4,1,2,1,27,3,2,1,1,1,0,0,1
2,36,3,4795,1,2,4,2,1,1,4,30,3,2,1,4,1,1,1,1
1,27,3,3416,1,3,3,3,1,2,3,27,3,2,1,4,1,0,1,1
1,18,3,2462,1,3,2,3,1,2,3,22,3,2,1,3,1,0,1,0
4,21,5,2288,1,2,4,2,1,4,2,23,3,2,1,3,1,1,1,1
2,48,2,3566,2,4,4,3,1,2,3,30,3,2,1,3,1,0,1,1
1,6,5,860,1,5,1,2,1,4,4,39,3,2,2,3,1,1,1,1
4,12,5,682,2,4,4,2,1,3,3,51,3,2,2,3,1,1,1,1
1,36,5,5371,1,3,3,3,3,2,2,28,3,2,2,3,1,0,1,1
4,18,5,1582,4,5,4,3,1,4,3,46,3,2,2,3,1,0,1,1
4,6,3,1346,2,5,2,3,1,4,4,42,1,3,1,3,2,1,1,1
4,10,3,1924,1,3,1,3,1,4,2,38,3,2,1,3,1,1,0,1
3,36,3,5848,1,3,4,3,1,1,3,24,3,2,1,3,1,0,1,1
2,24,5,7758,4,5,2,2,1,4,4,29,3,1,1,3,1,0,1,1
2,24,4,6967,2,4,4,3,1,4,3,36,3,1,1,4,1,1,1,1
1,12,3,1282,1,3,2,2,1,4,3,20,3,1,1,3,1,0,1,0
1,9,5,1288,2,5,3,3,3,4,1,48,3,2,2,3,2,0,0,1
1,12,2,339,1,5,4,4,1,1,3,45,1,2,1,2,1,0,1,1
2,24,3,3512,2,4,2,3,1,3,3,38,1,2,2,3,1,1,1,1
4,6,5,1898,5,3,1,3,1,2,1,34,3,2,2,2,2,0,1,1
4,24,5,2872,2,5,3,3,1,4,1,36,3,2,1,3,2,1,1,1
4,18,5,1055,1,2,4,2,1,1,2,30,3,2,2,3,1,0,1,1
4,15,3,1262,3,4,4,3,1,3,2,36,3,2,2,3,1,1,1,1
2,10,3,7308,1,1,2,3,1,4,4,70,1,3,1,4,1,1,1,1
4,36,3,909,3,5,4,3,1,4,2,36,3,2,1,3,1,0,1,1
4,6,3,2978,3,3,1,3,1,2,3,32,3,2,1,3,1,1,1,1
1,18,3,1131,1,1,4,2,1,2,3,33,3,2,1,3,1,0,1,0
2,11,3,1577,4,2,4,2,1,1,1,20,3,2,1,3,1,0,1,1
4,24,3,3972,1,4,2,2,1,4,2,25,3,1,1,3,1,1,1,1
2,24,5,1935,1,5,4,1,1,4,1,31,3,2,2,3,1,1,1,0
1,15,1,950,1,5,4,3,1,3,3,33,3,1,2,3,2,0,1,0
4,12,3,763,1,3,4,2,1,1,1,26,3,2,1,3,1,1,1,1
2,24,4,2064,1,1,3,2,1,2,2,34,3,2,1,4,1,1,1,0
2,8,3,1414,1,3,4,3,3,2,1,33,3,2,1,3,1,0,0,1
1,21,4,3414,1,2,2,3,1,1,2,26,3,2,2,3,1,0,1,0
4,30,2,7485,5,1,4,2,1,1,1,53,1,2,1,4,1,1,1,0
1,12,3,2577,1,3,2,1,1,1,3,42,3,2,1,3,1,0,1,1
1,6,5,338,3,5,4,3,1,4,3,52,3,2,2,3,1,0,1,1
4,12,3,1963,1,4,4,3,1,2,3,31,3,1,2,4,2,1,1,1
1,21,5,571,1,5,4,3,1,4,1,65,3,2,2,3,1,0,1,1
4,36,4,9572,1,2,1,1,1,1,3,28,3,2,2,3,1,0,1,0
2,36,4,4455,1,3,2,1,1,2,1,30,2,2,2,4,1,1,1,0
1,21,2,1647,5,3,4,3,1,2,2,40,3,2,2,2,2,0,1,0
4,24,5,3777,4,3,4,3,1,4,1,50,3,2,1,3,1,1,1,1
2,18,5,884,1,5,4,3,1,4,3,36,1,2,1,3,2,1,1,0
4,15,5,1360,1,3,4,3,1,2,2,31,3,2,2,3,1,0,1,1
2,9,2,5129,1,5,2,2,1,4,4,74,1,3,1,4,2,1,1,0
2,16,5,1175,1,1,2,3,1,3,3,68,3,3,3,1,1,1,1,1
1,12,3,674,2,4,4,4,1,1,2,20,3,2,1,3,1,0,1,0
2,18,1,3244,1,3,1,2,1,4,3,33,1,2,2,3,1,1,1,1
4,24,3,4591,4,3,2,3,1,3,2,54,3,2,3,4,1,1,1,0
2,48,1,3844,2,4,4,3,1,4,4,34,3,3,1,2,2,0,1,0
2,27,3,3915,1,3,4,3,1,2,3,36,3,2,1,3,2,1,1,0
4,6,3,2108,1,4,2,4,1,2,1,29,3,1,1,3,1,0,1,1
2,45,3,3031,2,3,4,3,3,4,2,21,3,1,1,3,1,0,1,0
2,9,5,1501,1,5,2,2,1,3,3,34,3,2,2,4,1,1,1,0
4,6,5,1382,1,3,1,2,1,1,3,28,3,2,2,3,1,1,1,1
2,12,3,951,2,2,4,2,1,4,3,27,1,1,4,3,1,0,1,0
2,24,3,2760,5,5,4,3,1,4,4,36,1,3,1,3,1,1,1,1
2,18,4,4297,1,5,4,1,1,3,4,40,3,2,1,4,1,1,1,0
4,9,5,936,3,5,4,3,1,2,3,52,3,2,2,3,1,1,1,1
1,12,3,1168,1,3,4,4,1,3,1,27,3,2,1,2,1,0,1,1
4,27,4,5117,1,4,3,3,1,4,3,26,3,2,2,3,1,0,1,1
1,12,3,902,1,4,4,4,1,4,2,21,3,1,1,3,1,0,1,0
4,12,5,1495,1,5,4,3,1,1,1,38,3,2,2,2,2,0,1,1
1,30,5,10623,1,5,3,3,1,4,4,38,3,3,3,4,2,1,1,1
4,12,5,1935,1,5,4,3,1,4,1,43,3,2,3,3,1,1,1,1
2,12,5,1424,1,4,4,3,1,3,2,26,3,2,1,3,1,0,1,1
1,24,3,6568,1,3,2,4,1,2,3,21,2,2,1,2,1,0,1,1
4,12,3,1413,4,4,3,3,1,2,2,55,3,2,1,3,1,0,0,1
4,9,5,3074,5,3,1,3,1,2,1,33,3,2,2,3,2,0,1,1
4,36,3,3835,5,5,2,2,1,4,1,45,3,2,1,2,1,1,1,1
1,27,1,5293,1,1,2,3,1,4,2,50,2,2,2,3,1,1,1,0
3,30,4,1908,1,5,4,3,1,4,1,66,3,2,1,4,1,1,1,0
4,36,5,3342,5,5,4,3,1,2,3,51,3,2,1,3,1,1,1,1
2,6,5,932,5,4,1,2,1,3,2,39,3,2,2,2,1,0,1,1
1,18,1,3104,1,4,3,3,1,1,2,31,1,2,1,3,1,1,1,1
3,36,3,3913,1,3,2,3,1,2,1,23,3,2,1,3,1,1,1,1
1,24,3,3021,1,3,2,1,1,2,1,24,3,1,1,2,1,0,1,1
4,10,3,1364,1,3,2,2,1,4,3,64,3,2,1,3,1,1,1,1
2,12,3,625,1,2,4,4,3,1,1,26,1,2,1,2,1,0,1,1
1,12,3,1200,5,3,4,2,1,4,2,23,1,1,1,3,1,1,1,1
4,12,3,707,1,3,4,3,1,2,1,30,1,2,2,3,1,0,1,1
4,24,4,2978,5,3,4,3,1,4,1,32,3,2,2,3,2,1,1,1
4,15,3,4657,1,3,3,3,1,2,3,30,3,2,1,3,1,1,1,1
4,36,1,2613,1,3,4,3,1,2,3,27,3,2,2,3,1,0,1,1
2,48,3,10961,4,4,1,3,2,2,4,27,1,2,2,3,1,1,1,0
1,12,3,7865,1,5,4,3,1,4,4,53,3,3,1,4,1,1,1,0
4,9,3,1478,1,4,4,3,1,2,3,22,3,2,1,3,1,0,1,0
1,24,3,3149,1,2,4,3,1,1,4,22,1,3,1,3,1,0,1,1
3,36,3,4210,1,3,4,3,1,2,3,26,3,2,1,3,1,0,1,0
4,9,3,2507,3,5,2,3,1,4,4,51,3,3,1,2,1,0,1,1
4,12,3,2141,2,4,3,3,1,1,4,35,3,2,1,3,1,0,1,1
2,18,3,866,1,3,4,4,3,2,1,25,3,2,1,2,1,0,1,1
4,4,5,1544,1,4,2,3,1,1,1,42,3,2,3,2,2,0,1,1
1,24,3,1823,1,1,4,3,1,2,3,30,2,2,1,4,2,0,1,0
2,6,3,14555,5,1,1,3,1,2,2,23,3,2,1,1,1,1,1,0
2,21,3,2767,2,5,4,1,1,2,3,61,1,1,2,2,1,0,1,0
4,12,5,1291,1,3,4,2,1,2,2,35,3,2,2,3,1,0,1,1
1,30,3,2522,1,5,1,3,3,3,2,39,3,2,1,3,2,0,1,1
1,24,3,915,5,5,4,2,1,2,3,29,1,2,1,3,1,0,1,0
4,6,3,1595,1,4,3,3,1,2,2,51,3,2,1,3,2,0,1,1
1,48,1,4605,1,5,3,3,1,4,4,24,3,3,2,3,2,0,1,0
4,12,5,1185,1,3,3,2,1,2,1,27,3,2,2,3,1,0,1,1
4,12,2,3447,3,3,4,2,1,3,1,35,3,2,1,2,2,0,1,1
4,24,3,1258,1,4,4,3,1,1,1,25,3,2,1,3,1,1,1,1
4,12,5,717,1,5,4,3,1,4,1,52,3,2,3,3,1,0,1,1
4,6,1,1204,2,3,4,3,1,1,4,35,1,1,1,3,1,0,0,1
3,24,3,1925,1,3,2,3,1,2,1,26,3,2,1,3,1,0,1,1
4,18,3,433,1,1,3,2,2,4,1,22,3,1,1,3,1,0,1,0
1,6,5,666,4,4,3,2,1,4,1,39,3,2,2,2,1,1,1,1
3,12,3,2251,1,3,1,2,1,2,3,46,3,2,1,2,1,0,1,1
2,30,3,2150,1,3,4,2,3,2,4,24,1,2,1,3,1,0,1,0
4,24,4,4151,2,3,2,3,1,3,2,35,3,2,2,3,1,0,1,1
2,9,3,2030,5,4,2,3,1,1,3,24,3,2,1,3,1,1,1,1
2,60,4,7418,5,3,1,3,1,1,1,27,3,2,1,2,1,0,1,1
4,24,5,2684,1,3,4,3,1,2,1,35,3,2,2,2,1,0,1,1
1,12,2,2149,1,3,4,1,1,1,4,29,3,3,1,3,1,0,1,0
4,15,3,3812,2,2,1,2,1,4,3,23,3,2,1,3,1,1,1,1
4,11,5,1154,2,1,4,2,1,4,1,57,3,2,3,2,1,0,1,1
1,12,3,1657,1,3,2,3,1,2,1,27,3,2,1,3,1,0,1,1
1,24,3,1603,1,5,4,2,1,4,3,55,3,2,1,3,1,0,1,1
1,18,5,5302,1,5,2,3,1,4,4,36,3,3,3,4,1,1,1,1
4,12,5,2748,1,5,2,2,1,4,4,57,1,3,3,2,1,0,1,1
4,10,5,1231,1,5,3,3,1,4,1,32,3,2,2,2,2,0,0,1
2,15,3,802,1,5,4,3,1,3,3,37,3,2,1,3,2,0,1,0
4,36,5,6304,5,5,4,3,1,4,1,36,3,2,2,3,1,0,1,1
4,24,3,1533,1,2,4,2,1,3,3,38,2,2,1,3,1,1,1,1
1,14,3,8978,1,5,1,1,1,4,2,45,3,2,1,4,1,1,0,0
4,24,3,999,5,5,4,3,1,2,3,25,3,2,2,3,1,0,1,1
4,18,3,2662,5,4,4,3,1,3,2,32,3,2,1,3,1,0,0,1
4,12,5,1402,3,4,3,2,1,4,3,37,3,1,1,3,1,1,1,1
2,48,2,12169,5,1,4,3,2,4,4,36,3,3,1,4,1,1,1,1
2,48,3,3060,1,4,4,3,1,4,1,28,3,2,2,3,1,0,1,0
1,30,3,11998,1,2,1,1,1,1,4,34,3,2,1,2,1,1,1,0
4,9,3,2697,1,3,1,3,1,2,1,32,3,2,1,3,2,0,1,1
4,18,5,2404,1,3,2,2,1,2,3,26,3,2,2,3,1,0,1,1
1,12,3,1262,5,5,2,1,1,4,2,49,3,2,1,2,1,1,1,1
4,6,3,4611,1,2,1,2,1,4,2,32,3,2,1,3,1,0,1,0
4,24,3,1901,2,3,4,3,1,4,3,29,3,1,1,4,1,1,1,1
4,15,5,3368,4,5,3,3,1,4,4,23,3,1,2,3,1,1,1,1
4,12,3,1574,1,3,4,3,1,2,1,50,3,2,1,3,1,0,1,1
3,18,2,1445,5,4,4,3,1,4,3,49,1,2,1,2,1,0,1,1
4,15,5,1520,5,5,4,3,1,4,2,63,3,2,1,3,1,0,1,1
2,24,5,3878,2,2,4,1,1,2,3,37,3,2,1,3,1,1,1,1
1,47,3,10722,1,2,1,2,1,1,1,35,3,2,1,2,1,1,1,1
1,48,3,4788,1,4,4,3,1,3,2,26,3,2,1,3,2,0,1,1
2,48,4,7582,2,1,2,3,1,4,4,31,3,3,1,4,1,1,1,1
2,12,3,1092,1,3,4,2,3,4,1,49,3,2,2,3,1,1,1,1
1,24,4,1024,1,2,4,4,1,4,1,48,2,2,1,3,1,0,1,0
4,12,3,1076,1,3,2,4,1,2,1,26,3,2,1,3,1,1,0,1
2,36,3,9398,1,2,1,4,1,4,3,28,3,1,1,4,1,1,1,0
1,24,5,6419,1,5,2,2,1,4,4,44,3,3,2,4,2,1,1,1
3,42,5,4796,1,5,4,3,1,4,4,56,3,3,1,3,1,0,1,1
4,48,5,7629,5,5,4,1,1,2,3,46,1,2,2,4,2,0,1,1
2,48,3,9960,1,2,1,2,1,2,3,26,3,2,1,3,1,1,1,0
4,12,3,4675,5,2,1,2,1,4,3,20,3,1,1,3,1,0,1,1
4,10,3,1287,5,5,4,3,2,2,2,45,3,2,1,2,1,0,0,1
4,18,3,2515,1,3,3,3,1,4,1,43,3,2,1,3,1,1,1,1
2,21,5,2745,4,4,3,3,1,2,3,32,3,2,2,3,1,1,1,1
4,6,3,672,1,1,1,2,1,4,1,54,3,2,1,1,1,1,1,1
2,36,1,3804,1,3,4,2,1,1,3,42,3,2,1,3,1,1,1,0
3,24,5,1344,5,4,4,3,1,2,1,37,1,2,2,2,2,0,1,0
1,10,5,1038,1,4,4,3,2,3,2,49,3,2,2,3,1,1,1,1
4,48,5,10127,3,3,2,3,1,2,4,44,1,3,1,3,1,0,1,0
4,6,3,1543,4,3,4,1,1,2,1,33,3,2,1,3,1,0,1,1
4,30,3,4811,5,4,2,2,1,4,2,24,2,1,1,2,1,0,1,1
1,12,3,727,2,2,4,4,1,3,4,33,3,2,1,2,1,1,1,0
2,8,3,1237,1,3,3,2,1,4,1,24,3,2,1,3,1,0,1,0
2,9,3,276,1,3,4,4,1,4,1,22,3,1,1,2,1,0,1,1
2,48,3,5381,5,1,3,3,1,4,4,40,1,3,1,1,1,1,1,1
4,24,3,5511,2,3,4,3,1,1,3,25,2,2,1,3,1,0,1,1
3,24,3,3749,1,2,2,2,1,4,3,26,3,2,1,3,1,0,1,1
2,12,3,685,1,4,2,4,1,3,3,25,1,2,1,2,1,0,1,0
3,4,3,1494,5,2,1,3,1,2,1,29,3,2,1,2,2,0,0,1
1,36,2,2746,1,5,4,3,1,4,3,31,1,2,1,3,1,0,1,0
1,12,3,708,1,3,2,3,3,3,2,38,3,2,1,2,2,0,1,1
2,24,3,4351,5,3,1,2,1,4,2,48,3,2,1,2,1,1,1,1
4,12,5,701,1,3,4,3,1,2,3,32,3,2,2,3,1,0,1,1
1,15,4,3643,1,5,1,2,1,4,2,27,3,2,2,2,1,0,1,1
2,30,5,4249,1,1,4,4,1,2,3,28,3,2,2,4,1,0,1,0
1,24,3,1938,1,2,4,1,1,3,2,32,3,2,1,3,1,0,1,0
1,24,3,2910,1,4,2,3,1,1,4,34,3,3,1,4,1,1,1,1
1,18,3,2659,4,3,4,3,1,2,3,28,3,2,1,3,1,0,1,1
4,18,5,1028,1,3,4,2,1,3,1,36,3,2,2,3,1,0,1,1
1,8,5,3398,1,4,1,3,1,4,1,39,3,2,2,2,1,0,0,1
4,12,5,5801,5,5,2,3,1,4,2,49,3,1,1,3,1,1,1,1
4,24,3,1525,4,4,4,2,1,3,3,34,3,2,1,3,2,1,1,1
3,36,3,4473,1,5,4,3,1,2,3,31,3,2,1,3,1,0,1,1
2,6,3,1068,1,5,4,3,1,4,3,28,3,2,1,3,2,0,1,1
1,24,5,6615,1,1,2,3,1,4,4,75,3,3,2,4,1,1,1,1
4,18,5,1864,2,3,4,2,1,2,1,30,3,2,2,3,1,0,1,0
2,60,3,7408,2,2,4,2,1,2,2,24,3,2,1,4,1,0,1,0
4,48,5,11590,2,3,2,2,1,4,3,24,1,1,2,2,1,0,1,0
1,24,1,4110,1,5,3,3,1,4,4,23,1,1,2,3,2,0,1,0
1,6,5,3384,1,3,1,1,1,4,1,44,3,1,1,4,1,1,1,0
2,13,3,2101,1,2,2,2,3,4,2,23,3,2,1,2,1,0,1,1
