surgery,Age,rectal_temperature,pulse,respiratory_rate,temp_extremities,peripheral_pulse,capillary_refill_time,pain,peristalsis,abdominal_distension,nasogastric_tube,nasogastric_reflux,rectal_examination,packed_cell_volume,total_protein,abdominocentesis_appearance,outcome,surgical_lesion
0,1,999,104,24,4,2,1,4,4,3,999,2,999,73,8.4,999,3,1
0,1,38.3,112,16,999,2,1,999,999,1,1,3,999,51,6,2,3,0
1,1,37.8,72,999,999,2,0,5,3,1,999,1,2,56,80,1,1,1
0,1,38.6,52,999,2,3,0,3,3,2,1,1,2,32,6.6,1,1,0
1,0,39.2,146,96,999,999,999,999,999,999,999,999,999,999,999,999,2,1
1,1,999,88,999,3,2,1,5,3,3,1,2,4,63,6.5,3,2,1
0,0,39,150,72,999,999,999,999,999,999,999,999,999,47,8.5,999,1,1
0,1,38,60,12,3,3,0,3,3,1,1,1,1,47,7,999,1,0
1,1,999,120,999,3,1,0,4,4,4,1,1,999,52,67,2,3,1
1,1,35.4,140,24,3,2,1,4,4,999,2,1,999,57,69,3,3,1
0,1,999,120,999,4,2,1,5,4,4,1,1,4,60,6.5,3,2,1
1,1,37.9,60,15,3,999,1,5,4,4,2,3,4,65,7.5,999,1,1
0,1,37.5,48,16,2,3,0,1,1,1,1,1,2,37,6.5,999,1,0
1,1,38.9,80,44,3,2,1,2,3,3,2,3,3,54,6.5,3,2,1
0,1,37.2,84,48,3,2,1,4,1,2,1,3,1,73,5.5,2,2,0
0,1,38.6,46,999,2,3,0,1,3,2,1,1,999,49,9.1,1,1,0
1,1,37.4,84,36,2,999,1,3,3,2,999,999,4,999,999,3,2,1
0,1,999,999,999,2,3,0,1,3,1,999,999,1,43,7.7,999,1,0
0,1,38.6,40,20,999,999,0,999,999,999,999,999,999,41,6.4,999,1,0
0,1,40.3,114,36,3,2,1,2,3,3,2,1,2,57,8.1,3,3,1
1,0,38.6,160,20,3,999,0,3,3,4,3,999,4,38,999,2,2,1
1,1,999,999,999,999,999,999,999,999,999,999,999,999,24,6.7,999,1,1
1,1,999,64,36,1,999,0,5,3,3,2,3,999,42,7.7,999,2,1
1,1,999,999,20,4,2,999,5,4,3,2,999,4,53,5.9,3,2,1
0,1,999,96,999,3,2,1,5,4,4,1,3,4,60,999,999,2,1
0,1,37.8,48,32,2,3,0,2,1,999,1,1,4,37,6.7,999,1,0
0,1,38.5,60,999,1,4,0,1,2,2,2,1,2,44,7.7,999,1,0
1,1,37.8,88,22,1,3,0,3,999,999,2,999,4,64,8,1,2,1
0,1,38.2,130,16,4,2,1,2,4,4,1,1,999,65,82,2,3,0
1,1,39,64,36,3,3,1,3,3,2,1,3,4,44,7.5,3,1,1
1,1,999,60,36,3,3,0,3,3,2,1,1,3,26,72,2,1,1
0,1,37.9,72,999,2,3,1,3,3,1,1,2,3,58,74,1,1,1
0,1,38.4,54,24,2,3,0,1,3,1,2,1,3,49,7.2,1,1,0
0,1,999,52,16,2,999,0,999,999,999,2,2,999,55,7.2,999,1,0
0,1,38,48,12,2,3,0,1,3,999,1,1,3,42,6.3,2,1,0
0,1,37,60,20,3,999,0,3,999,3,2,3,4,43,7.6,999,3,1
1,1,37.8,48,28,2,3,0,1,2,1,2,999,2,46,5.9,2,1,0
1,1,37.7,56,999,999,999,999,999,999,999,999,999,999,999,999,999,2,1
1,1,38.1,52,24,2,3,0,4,3,1,2,2,2,54,7.5,2,2,1
1,0,999,999,999,999,999,999,999,999,999,999,999,999,37,4.9,999,2,1
1,0,39.7,100,999,3,2,1,2,3,999,999,999,999,48,57,2,3,1
1,1,37.6,38,20,3,2,0,3,3,2,999,999,3,37,68,999,1,1
0,1,38.7,52,20,1,999,0,1,1,1,1,1,2,33,77,999,1,0
1,1,999,999,999,3,2,999,5,3,3,3,3,4,46,5.9,999,2,1
1,1,37.5,96,18,2,2,1,3,4,2,2,2,999,69,8.9,3,1,1
1,1,36.4,98,35,3,2,0,4,3,2,999,999,4,47,6.4,3,2,1
1,1,37.3,40,999,999,2,0,2,3,2,3,1,3,36,999,3,1,1
1,0,38.1,100,80,3,3,0,3,4,1,999,999,2,36,5.7,999,1,1
1,1,38,999,24,3,2,1,5,999,4,1,1,999,68,7.8,999,2,1
1,1,37.8,60,80,2,2,1,2,3,3,999,3,4,40,4.5,2,1,1
0,1,38,54,30,1,2,999,3,1,2,2,3,999,45,6.2,999,1,0
1,1,999,88,40,3,2,1,5,4,3,3,999,4,50,7.7,3,2,1
0,1,999,40,16,999,999,0,999,999,999,999,999,999,50,7,2,3,1
0,1,39,64,40,2,3,0,3,3,2,2,1,3,42,7.5,2,1,0
0,1,38.3,42,10,2,3,0,1,1,1,999,999,999,38,61,999,1,0
0,1,38,52,16,999,999,999,2,999,999,999,2,2,53,86,999,1,1
0,1,40.3,114,36,3,2,1,2,3,3,2,1,2,57,8.1,3,2,1
0,1,38.8,50,20,3,3,0,1,1,1,2,1,3,42,6.2,999,1,0
0,1,999,999,999,3,2,0,5,3,3,1,1,4,38,6.5,999,2,1
0,1,37.5,48,30,4,3,0,999,2,1,1,1,2,48,8.6,999,1,0
1,1,37.3,48,20,999,3,0,3,3,3,2,1,3,41,69,999,1,1
0,1,999,84,36,999,999,0,999,3,1,2,1,3,44,8.5,999,1,1
1,1,38.1,88,32,3,2,0,2,3,3,999,2,4,55,60,999,3,0
0,1,37.7,44,40,1,3,0,1,3,2,1,1,2,41,60,999,1,0
0,1,39.6,108,51,3,2,1,2,4,3,1,3,3,59,8,2,1,0
1,1,38.2,40,16,3,2,0,1,3,999,999,999,2,34,66,999,1,0
1,1,999,60,20,4,2,1,5,4,999,999,1,4,999,999,999,3,1
0,1,38.3,40,16,3,999,0,2,999,999,999,999,999,37,57,999,1,0
1,0,38,140,68,2,3,0,3,3,2,999,999,1,39,5.3,999,1,1
1,1,37.8,52,24,2,2,0,4,4,1,2,2,1,48,6.6,1,2,1
1,1,999,70,36,2,999,1,2,3,2,2,999,4,36,7.3,999,1,1
1,1,38.3,52,96,999,2,0,999,999,999,1,1,2,43,6.1,999,1,1
0,1,37.3,50,32,2,3,0,1,3,2,999,999,2,44,7,999,1,0
1,1,38.7,60,32,4,2,1,4,4,4,999,999,4,53,64,3,3,1
1,0,38.4,84,40,3,2,0,3,3,3,1,1,999,36,6.6,2,2,1
1,1,999,70,16,3,1,1,2,3,2,2,1,4,60,7.5,999,2,1
1,1,38.3,40,16,3,999,0,1,3,2,999,999,999,38,58,1,1,1
1,1,999,40,999,1,3,0,1,3,1,1,1,999,39,56,999,1,1
1,1,36.8,60,28,999,999,999,999,999,999,999,999,999,999,999,999,2,1
1,1,38.4,44,24,3,999,999,5,4,3,2,1,4,50,77,999,1,1
0,1,999,999,40,3,3,0,3,3,2,999,999,999,45,70,999,1,0
1,1,38,44,12,2,3,0,3,3,3,2,1,4,42,65,999,1,1
0,1,39.5,999,999,3,2,1,3,4,3,999,2,4,999,6.7,1,3,1
1,1,36.5,78,30,2,999,0,5,3,1,999,1,999,34,75,2,1,1
0,1,38.1,56,20,1,3,0,1,3,1,1,1,999,46,70,999,1,0
1,1,39.4,54,66,2,3,0,2,3,2,1,1,3,39,6,2,1,1
1,1,38.3,80,40,999,999,1,4,3,1,999,3,2,67,10.2,2,3,1
0,1,38.7,40,28,1,3,0,3,1,1,999,999,2,39,62,1,1,0
1,1,38.2,64,24,2,3,0,4,4,3,2,1,4,45,7.5,1,2,1
0,1,37.6,48,20,3,3,0,1,1,3,2,1,2,37,5.5,999,3,1
1,1,38,42,68,4,3,0,3,3,2,2,3,4,41,7.6,999,1,1
1,1,38.7,999,999,3,3,0,5,4,2,999,999,999,33,6.5,2,1,1
1,1,37.4,50,32,3,2,0,4,4,1,2,1,2,45,7.9,2,1,1
1,1,37.4,84,20,999,999,0,2,3,3,999,999,999,31,61,999,3,0
1,1,38.4,49,999,999,999,0,999,999,1,2,1,999,44,7.6,999,1,1
1,1,37.8,30,12,999,999,999,999,999,999,999,999,999,999,999,999,2,1
0,1,37.6,88,36,3,3,0,3,3,2,1,2,999,44,6,999,2,1
999,1,38,48,20,3,3,0,4,3,1,2,1,3,43,73,2,999,1
0,1,37.9,40,24,2,3,0,2,3,1,999,999,999,40,5.7,999,1,1
1,1,999,100,999,3,999,1,5,4,999,2,999,1,59,6.3,999,2,1
1,0,38.1,136,48,3,2,0,5,1,3,2,3,1,33,4.9,2,2,1
1,1,999,999,999,3,2,1,5,3,3,3,3,4,46,5.9,999,2,1
1,1,38,48,999,2,3,0,1,2,4,2,3,4,999,999,999,1,1
0,1,38,56,999,2,4,0,1,1,1,1,1,2,42,71,999,1,0
0,1,38,60,32,2,3,0,3,3,999,1,1,999,50,7,1,1,0
1,1,38.1,44,9,3,3,0,2,2,1,1,1,4,31,7.3,999,1,0
0,1,36,42,30,999,999,0,999,999,999,999,999,999,64,6.8,999,2,0
1,1,999,120,999,4,2,1,5,4,4,999,999,4,57,4.5,3,2,1
1,1,37.8,48,28,2,3,1,1,2,1,2,999,2,46,5.9,2,1,0
1,1,37.1,84,40,3,2,0,2,4,4,3,3,4,75,81,999,3,0
0,1,999,80,32,3,2,0,2,3,3,2,1,3,50,80,999,1,1
1,1,38.2,48,999,2,2,0,3,4,4,1,2,4,42,71,999,1,1
0,1,38,44,12,1,3,0,3,4,3,1,3,2,33,6.5,999,2,1
1,1,38.3,132,999,999,2,1,2,4,2,2,2,4,57,8,999,1,1
0,1,38.7,48,24,999,999,999,1,1,999,1,1,2,34,63,999,1,0
0,1,38.9,44,14,3,3,0,2,3,2,999,999,999,33,64,999,1,0
1,1,39.3,999,999,4,2,1,4,4,2,1,2,4,75,999,3,2,1
1,1,999,100,999,3,2,1,999,4,4,2,1,999,68,64,3,1,1
0,1,38.6,48,20,3,3,0,1,3,2,2,1,3,50,7.3,1,1,0
0,1,38.8,48,40,2,3,0,3,3,4,2,999,999,41,65,999,1,1
0,1,38,48,20,3,2,0,1,4,2,2,999,999,49,8.3,1,1,0
0,1,38.6,52,20,2,3,0,3,3,2,1,1,2,36,6.6,1,1,0
1,1,37.8,60,24,2,999,1,999,4,4,2,2,999,52,75,999,3,1
0,1,38,42,40,3,3,0,3,3,1,999,999,999,999,999,999,1,0
0,1,999,999,12,2,3,0,2,1,2,3,1,2,44,7.5,2,1,0
1,1,999,999,999,999,999,999,4,999,999,1,1,999,35,58,2,1,1
1,1,38.3,42,24,999,999,0,999,999,999,999,999,999,40,8.5,999,2,1
0,1,39.5,60,10,3,999,1,3,3,2,2,1,3,38,56,1,1,0
1,1,38,66,20,2,2,0,5,3,1,1,1,3,46,46,3,3,1
1,1,38.7,76,999,2,3,1,3,3,2,2,3,4,50,8,999,1,1
1,1,39.4,120,48,999,999,0,999,3,3,1,999,4,56,64,1,3,0
1,1,38.3,40,18,2,3,0,3,1,1,999,999,1,43,5.9,1,1,0
0,1,999,44,24,2,3,0,3,3,1,2,1,999,999,6.3,999,1,0
1,1,38.4,104,40,2,3,0,2,4,2,2,2,999,55,8.5,999,1,1
1,1,999,65,24,999,999,1,5,999,4,3,1,999,999,999,999,3,1
0,1,37.5,44,20,2,3,0,999,1,1,999,999,2,35,7.2,999,1,0
0,1,39,86,16,3,2,999,3,3,3,999,3,999,68,5.8,3,2,1
1,1,38.5,129,48,3,2,0,2,4,3,1,2,999,57,66,3,1,1
1,1,999,104,999,3,2,1,2,4,3,999,2,4,69,8.6,2,2,1
0,1,999,999,999,3,1,999,4,999,4,999,999,999,999,999,999,2,1
1,1,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,1,1
1,1,38.2,60,30,2,3,0,3,3,1,2,1,3,48,66,999,1,1
1,1,999,68,14,999,999,0,4,999,999,999,1,999,999,999,2,2,1
1,1,999,60,30,3,2,1,5,4,4,1,1,4,45,70,3,1,1
0,1,38.5,100,999,3,2,1,4,3,4,2,1,4,999,999,999,3,0
1,1,38.4,84,30,3,3,1,4,3,3,2,2,4,47,7.5,3,2,1
0,1,37.8,48,14,999,999,0,3,999,2,1,2,2,35,7.5,999,1,0
1,1,38,999,24,3,2,1,5,999,4,1,1,999,68,7.8,999,2,1
0,1,37.8,56,16,2,3,0,2,1,1,2,1,2,44,68,1,1,0
0,1,38.2,68,32,1,4,0,1,1,1,3,1,2,43,65,999,1,0
1,1,38.5,120,60,4,2,1,999,3,999,999,999,999,54,999,999,1,1
1,1,39.3,64,90,1,2,0,999,3,1,1,3,999,39,6.7,999,1,1
1,1,38.4,80,30,4,2,0,3,3,3,3,2,4,32,6.1,3,1,1
1,1,38.5,60,999,2,3,0,999,1,1,999,999,999,33,53,1,1,1
1,1,38.3,60,16,3,3,0,2,1,1,2,3,2,30,6,1,1,1
1,1,37.1,40,8,999,3,0,3,3,1,1,1,3,23,6.7,3,1,1
0,0,999,100,44,1,3,0,4,1,1,999,999,2,37,4.7,999,1,0
1,1,38.2,48,18,2,3,0,3,3,3,1,3,4,48,74,1,1,1
1,1,999,60,48,3,2,1,4,3,4,999,999,999,58,7.6,999,2,1
0,1,37.9,88,24,2,3,0,2,2,1,999,999,4,37,56,999,1,0
0,1,38,44,12,3,3,999,999,1,2,999,999,2,42,64,999,1,0
0,1,38.5,60,20,2,3,1,2,2,1,2,1,1,63,7.5,2,3,0
0,1,38.5,96,36,3,2,1,2,4,2,1,3,4,70,8.5,999,2,1
0,1,38.3,60,20,2,3,1,1,3,1,999,999,3,34,66,999,1,0
0,1,38.5,60,40,3,3,0,2,1,2,999,999,3,49,59,999,1,0
1,1,37.3,48,12,2,999,0,3,1,3,2,1,3,40,6.6,2,1,1
1,1,38.5,86,999,2,3,0,4,4,3,2,1,3,45,7.4,1,2,1
1,1,37.5,48,40,999,999,999,999,999,999,1,1,999,41,55,3,3,1
0,1,37.2,36,9,2,3,0,2,3,1,2,1,4,35,5.7,999,1,0
1,1,39.2,999,23,3,3,0,4,4,2,2,999,999,36,6.6,1,1,1
0,1,38.5,100,999,3,2,1,4,3,4,2,1,4,999,999,999,3,0
1,1,38.5,96,30,1,2,1,4,4,3,2,1,3,50,65,999,1,1
1,1,999,999,999,999,999,999,999,999,999,999,999,999,45,8.7,999,2,1
1,1,37.8,88,80,3,2,1,999,3,3,2,2,4,64,89,999,3,1
0,1,37.5,44,10,3,3,0,3,1,2,2,999,3,43,51,1,1,0
1,1,37.9,68,20,999,3,0,2,4,2,999,999,2,45,4,3,2,1
1,1,38,86,24,4,2,0,2,4,4,1,1,4,45,5.5,1,2,1
1,0,38.9,120,30,2,2,1,3,3,3,3,1,999,47,6.3,1,1,0
1,1,37.6,45,12,3,3,0,999,2,2,2,1,2,39,7,2,1,1
0,1,38.6,56,32,1,3,0,1,1,1,2,999,1,40,7,2,1,0
1,1,37.8,40,12,2,3,0,1,2,1,2,1,2,38,7,999,1,1
0,1,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,1,0
1,1,38,76,18,999,999,1,999,999,999,999,999,999,71,11,999,1,1
1,1,38.1,40,36,2,4,0,2,2,999,999,999,999,999,999,999,3,1
1,1,999,52,28,3,2,0,3,4,3,2,1,4,37,8.1,999,1,1
1,1,39.2,88,58,4,1,1,5,4,999,999,999,999,999,999,2,3,0
1,1,38.5,92,40,4,2,0,2,4,3,999,999,4,46,67,2,1,1
1,1,999,112,13,4,1,0,2,3,1,2,1,4,60,6.3,3,1,1
1,1,37.7,66,12,2,3,0,3,3,2,2,999,4,31.5,6.2,2,1,1
1,1,38.8,50,14,2,3,0,3,1,1,1,1,3,38,58,999,1,1
0,1,38.4,54,24,2,3,0,1,3,1,2,1,3,49,7.2,1,1,0
1,1,39.2,120,20,4,2,1,2,3,3,1,2,999,60,8.8,3,2,1
1,0,999,999,999,999,999,999,999,999,999,999,999,999,45,6.5,2,1,1
1,1,37.3,90,40,3,999,1,5,4,3,2,3,2,65,50,3,3,1
1,0,38.5,120,70,999,999,999,999,1,999,2,999,2,35,54,1,1,1
1,1,38.5,104,40,3,2,0,4,3,4,999,999,999,999,999,999,1,1
0,1,39.5,92,28,3,2,0,5,4,1,999,2,4,72,6.4,999,2,0
1,1,38.5,30,18,999,999,999,999,999,999,999,999,999,40,7.7,999,1,1
1,1,38.3,72,30,4,2,1,3,3,3,2,1,3,43,7,2,1,1
0,1,37.5,48,30,4,3,0,999,2,1,1,1,2,48,8.6,999,1,0
1,1,38.1,52,24,2,3,0,4,3,1,2,2,2,54,7.5,2,2,1
0,1,38.2,42,26,2,3,0,3,1,2,999,999,2,36,6.9,999,1,0
0,1,37.9,54,42,1,3,0,3,1,1,999,1,999,47,54,3,1,0
0,1,36.1,88,999,3,2,0,3,3,2,2,2,999,45,7,3,3,1
1,1,38.1,70,22,999,3,0,5,3,999,999,999,999,36,65,999,3,1
1,1,38,90,30,4,2,1,5,4,4,999,999,4,55,6.1,999,2,1
1,1,38.2,52,16,2,3,0,1,2,1,1,1,2,43,8.1,999,1,0
1,1,999,36,32,2,3,0,5,3,3,2,2,999,41,5.9,999,2,1
1,1,38.4,92,20,2,999,1,999,3,3,999,999,2,999,999,999,1,1
1,0,38.2,124,88,2,2,0,2,3,4,999,999,999,47,8,1,1,1
0,1,999,96,999,3,2,1,5,4,4,999,1,4,60,999,999,2,1
1,1,37.6,68,32,3,999,0,4,2,4,2,3,2,47,7.2,1,1,1
1,1,38.1,88,24,3,2,0,5,4,3,2,1,3,41,4.6,999,2,1
1,1,38,108,60,1,2,0,4,3,3,2,999,3,999,999,3,1,1
0,1,38.2,48,999,1,999,1,3,3,1,2,1,999,34,6.6,999,1,0
1,1,39.3,100,51,4,1,0,2,4,1,1,2,999,66,13,3,3,1
0,1,36.6,42,18,3,2,0,1,4,1,1,1,999,52,7.1,999,2,1
1,0,38.8,124,36,3,3,0,2,3,4,1,1,4,50,7.6,3,2,1
0,1,999,112,24,3,2,1,5,4,2,999,999,4,40,5.3,3,1,0
1,1,999,80,999,3,2,0,4,4,4,999,999,4,43,70,999,1,1
1,0,38.8,184,84,2,999,0,4,1,3,999,999,1,33,3.3,999,2,1
1,1,37.5,72,999,1,3,0,2,1,1,1,1,2,35,65,2,3,1
1,1,38.7,96,28,3,2,0,999,4,999,999,2,999,64,9,999,2,1
0,1,37.5,52,12,2,3,0,2,3,2,2,1,3,36,61,1,1,0
1,1,40.8,72,42,3,2,0,2,3,1,2,1,999,54,7.4,3,2,1
0,1,38,40,25,999,3,0,4,3,2,1,1,4,37,69,999,1,0
0,1,38.4,48,16,1,3,0,1,999,2,2,1,999,39,6.5,999,1,0
0,0,38.6,88,28,999,999,999,999,999,999,999,999,999,35,5.9,999,1,0
1,1,37.1,75,36,999,999,1,4,4,2,2,2,4,48,7.4,3,2,1
1,1,38.3,44,21,3,3,0,3,3,3,2,1,2,44,6.5,2,1,1
0,1,999,56,68,3,3,0,3,3,1,2,1,2,40,6,999,3,1
0,1,38.6,68,20,1,3,0,3,3,2,1,1,2,38,6.5,1,1,0
0,1,38.3,54,18,3,3,0,2,3,2,999,2,999,44,7.2,3,1,0
1,1,38.2,42,20,999,999,0,999,3,999,999,999,3,47,60,999,1,0
1,1,39.3,64,90,1,2,0,999,3,1,1,3,2,39,6.7,999,1,1
1,1,37.5,60,50,3,2,0,3,3,2,2,3,3,35,6.5,999,2,1
1,1,37.7,80,999,3,2,0,5,4,1,2,2,3,50,55,3,1,1
1,1,999,100,30,3,2,1,5,4,4,3,2,4,52,6.6,999,1,1
1,1,37.7,120,28,3,2,0,5,3,3,1,1,999,65,7,3,2,1
1,1,999,76,999,999,2,999,999,4,4,999,999,999,999,999,999,3,1
1,0,38.8,150,50,2,2,1,5,3,2,1,1,999,50,6.2,999,2,1
1,1,38,36,16,3,3,0,4,2,2,3,2,3,37,75,2,3,0
0,1,36.9,50,40,1,2,0,1,3,2,3,1,999,37.5,6.5,999,1,0
0,1,37.8,40,16,2,3,0,1,1,1,999,999,2,37,6.8,999,1,0
0,1,38.2,56,40,4,2,0,2,4,3,2,3,999,47,7.2,1,1,0
1,1,38.6,48,12,999,999,999,1,1,999,999,999,999,36,67,999,1,0
0,1,40,78,999,3,2,0,2,3,1,1,1,4,66,6.5,999,2,1
1,1,999,70,16,3,1,1,2,3,2,2,1,4,60,7.5,999,2,1
1,1,38.2,72,18,999,999,999,999,999,999,999,999,999,35,6.4,999,1,1
0,1,38.5,54,999,2,3,0,3,1,1,2,1,2,40,6.8,2,1,0
1,1,38.5,66,24,2,3,0,3,3,1,2,1,4,40,6.7,1,1,1
0,1,37.8,82,12,3,3,1,4,999,3,1,2,999,50,7,999,3,1
0,0,39.5,84,30,999,999,0,999,999,999,999,999,999,28,5,999,1,0
1,1,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,1,1
1,1,38,50,36,999,3,0,3,2,2,999,999,3,39,6.6,1,1,1
0,1,38.6,45,16,1,3,0,1,1,999,999,999,2,43,58,999,1,0
1,1,38.9,80,44,3,2,0,2,3,3,2,3,3,54,6.5,3,2,1
1,1,37,66,20,2,2,0,4,3,3,1,999,2,35,6.9,2,2,1
1,1,999,78,24,3,2,0,999,3,999,2,1,999,43,62,999,3,0
0,1,38.5,40,16,2,3,0,2,1,1,999,999,3,37,67,999,1,0
1,1,999,120,70,4,999,1,2,4,999,999,999,999,55,65,999,3,0
0,1,37.2,72,24,3,4,1,4,3,3,3,1,4,44,999,3,3,1
1,1,37.5,72,30,4,2,0,4,4,3,2,1,3,60,6.8,999,2,1
1,1,36.5,100,24,3,2,0,3,3,3,3,1,4,50,6,3,1,1
1,1,37.2,40,20,999,999,999,999,999,999,999,999,4,36,62,1,3,0
0,1,38.5,54,20,999,3,1,3,4,1,2,3,999,42,6.3,999,1,0
0,1,37.6,48,36,999,999,0,999,3,999,999,999,999,44,6.3,1,1,0
1,1,37.7,44,28,999,1,1,5,4,4,1,1,3,45,70,3,1,1
1,1,37,56,24,3,3,1,4,4,3,1,1,999,35,61,3,3,0
0,1,38,42,12,3,999,0,1,999,1,999,999,999,37,5.8,999,1,0
1,1,999,60,40,3,999,0,999,4,999,3,3,999,42,72,999,1,1
0,1,38.4,80,60,3,4,0,3,2,1,2,3,2,54,6.9,999,1,0
0,1,37.8,48,12,1,3,0,3,999,1,2,999,1,48,7.3,1,1,0
999,1,38,65,40,999,3,1,2,999,999,999,999,999,999,999,999,999,1
0,1,37.9,45,36,3,2,1,2,3,1,2,1,3,33,5.7,3,1,1
0,1,39,84,12,3,3,0,2,4,2,1,3,999,62,5.9,2,2,1
0,1,38.2,60,24,3,3,1,3,3,2,3,2,4,53,7.5,2,1,0
1,1,999,140,999,999,999,1,5,4,4,1,1,999,30,69,999,2,0
1,1,37.9,120,60,3,2,0,5,4,4,2,3,4,52,6.6,3,2,1
0,1,38,72,36,2,3,0,3,999,2,2,1,3,38,6.8,2,1,0
0,0,38,92,28,2,3,0,1,3,2,3,999,999,37,6.1,1,1,0
1,1,38.3,66,30,1,2,0,2,4,3,3,3,4,37,6,999,1,1
0,1,37.5,48,24,3,3,0,2,1,999,1,1,3,43,6,1,1,0
1,1,37.5,88,20,1,2,0,4,3,3,999,999,999,35,6.4,1,2,1
0,0,999,150,60,4,1,1,5,4,4,999,999,999,999,999,999,2,1
1,1,39.7,100,30,999,999,1,4,4,3,1,999,4,65,75,999,3,1
1,1,38.3,80,999,3,2,1,5,4,3,2,1,4,45,7.5,2,1,1
0,1,37.5,40,32,3,3,0,3,2,3,2,1,999,32,6.4,1,1,1
1,1,38.4,84,30,3,3,1,4,3,3,2,2,4,47,7.5,3,2,1
1,1,38.1,84,44,4,999,1,5,3,1,1,2,999,60,6.8,999,2,1
0,1,38.7,52,999,2,3,0,1,3,1,999,999,2,4,74,999,1,0
0,1,38.1,44,40,1,3,0,3,3,1,999,999,2,35,6.8,999,1,0
0,1,38.4,52,20,1,3,0,1,3,2,2,1,3,41,63,1,1,0
1,1,38.2,60,999,2,999,0,2,1,1,1,1,4,43,6.2,2,1,1
0,1,37.7,40,18,2,3,999,3,2,1,1,1,3,36,3.5,999,1,0
1,1,39.1,60,10,999,3,999,2,3,999,999,999,4,999,999,999,1,1
0,1,37.8,48,16,2,3,0,999,1,1,2,1,4,43,7.5,999,1,0
1,1,39,120,999,4,2,1,2,4,3,2,2,999,65,8.2,3,1,0
1,1,38.2,76,999,1,2,0,5,3,3,1,3,2,35,6.5,2,1,1
0,1,38.3,88,999,999,999,999,999,999,999,999,999,999,999,999,999,2,0
1,1,38,80,30,3,2,0,999,999,999,999,999,999,48,8.3,999,1,1
1,1,999,999,999,3,3,0,2,3,3,1,2,4,999,999,2,2,1
1,1,37.6,40,999,2,3,0,1,1,1,999,999,2,999,999,2,1,1
0,1,37.5,44,999,2,3,0,3,3,2,999,999,999,45,5.8,2,1,0
